team,season,winning_percentage,relative_payroll,previous_wp
Arizona Diamondbacks,1999,0.6172839506172839,1.5215944968,0.4012345679012346
Arizona Diamondbacks,2000,0.5246913580246914,1.262560778,0.6172839506172839
Arizona Diamondbacks,2003,0.5185185185185185,1.1393095931,0.6049382716049383
Arizona Diamondbacks,2004,0.3148148148148148,1.0700517539,0.5185185185185185
Arizona Diamondbacks,2005,0.47530864197530864,0.9021184218,0.3148148148148148
Arizona Diamondbacks,2006,0.4691358024691358,0.8222600736,0.47530864197530864
Arizona Diamondbacks,2007,0.5555555555555556,0.5964835506,0.4691358024691358
Arizona Diamondbacks,2008,0.5061728395061729,0.8179485754,0.5555555555555556
Arizona Diamondbacks,2011,0.5802469135802469,0.6204638183,0.4012345679012346
Arizona Diamondbacks,2014,0.3950617283950617,1.0612114509,0.5
Arizona Diamondbacks,2018,0.5061728395061729,0.9818688247,0.5740740740740741
Atlanta Braves,2002,0.6273291925465838,1.4731709855,0.5432098765432098
Atlanta Braves,2003,0.6234567901234568,1.5010407884,0.6273291925465838
Atlanta Braves,2004,0.5925925925925926,1.382902051,0.6234567901234568
Atlanta Braves,2005,0.5555555555555556,1.2513359289,0.5925925925925926
Atlanta Braves,2006,0.4876543209876543,1.2420769183,0.5555555555555556
Atlanta Braves,2007,0.5185185185185185,1,0.4876543209876543
Atlanta Braves,2008,0.4444444444444444,1.264749767,0.5185185185185185
Atlanta Braves,2009,0.5308641975308642,1.1856724056,0.4444444444444444
Atlanta Braves,2010,0.5617283950617284,0.9279083046,0.5308641975308642
Atlanta Braves,2011,0.5493827160493827,1,0.5617283950617284
Atlanta Braves,2012,0.5802469135802469,0.9947927948,0.5493827160493827
Atlanta Braves,2015,0.41358024691358025,0.8298224619,0.4876543209876543
Baltimore Orioles,1999,0.48148148148148145,1.5312676095,0.4876543209876543
Baltimore Orioles,2002,0.41358024691358025,0.9534278373,0.3888888888888889
Baltimore Orioles,2005,0.4567901234567901,1.069795823,0.48148148148148145
Baltimore Orioles,2006,0.43209876543209874,1,0.4567901234567901
Baltimore Orioles,2007,0.42592592592592593,1.0717598261,0.43209876543209874
Baltimore Orioles,2008,0.422360248447205,0.8302238991,0.42592592592592593
Baltimore Orioles,2009,0.3950617283950617,0.8225343466,0.422360248447205
Baltimore Orioles,2010,0.4074074074074074,0.8164377046,0.3950617283950617
Baltimore Orioles,2013,0.5246913580246914,0.9922212013,0.5740740740740741
Baltimore Orioles,2014,0.5925925925925926,1.0202111907,0.5246913580246914
Baltimore Orioles,2015,0.5,1.0169164437,0.5925925925925926
Baltimore Orioles,2016,0.5493827160493827,1.2008312496,0.5
Baltimore Orioles,2017,0.46296296296296297,1.2134808524,0.5493827160493827
Baltimore Orioles,2018,0.29012345679012347,1.1088105042,0.46296296296296297
Boston Red Sox,1999,0.5802469135802469,1.5507632244,0.5679012345679012
Boston Red Sox,2000,0.5246913580246914,1.3160453809,0.5802469135802469
