Name,Country,Gender,Division,Swim,Bike,Run,Overall
"Burke, James",USA,Male,M35-39,49.61666666666667,266.8666666666667,188.25,512.55
"De Korver, Derk",NLD,Male,M30-34,58.333333333333336,267.75,186.71666666666667,519.1333333333333
"Kurc Boucau, Quentin",FRA,Male,M25-29,58.4,254.28333333333333,212.3,533.6666666666666
"Standidge, Chris",GBR,Male,M35-39,51.733333333333334,267.2,212.83333333333334,538.4666666666667
"Veldeman, Stefaan",BEL,Male,M35-39,59.11666666666667,279.21666666666664,193.3,539.45
"Boschian Romero, Alejandro Jose",VEN,Male,M35-39,57.2,281.73333333333335,191.51666666666668,539.7
"Gough, Nicholas",USA,Male,M30-34,67.31666666666666,281.7,183.58333333333334,541.7833333333333
"Jackson, Steve",USA,Male,M30-34,51.3,291.8,194.23333333333332,543.5
"Beyne, Anthony",FRA,Male,M35-39,60.416666666666664,276.5,198.46666666666667,543.7333333333333
"Weitz, Matti",DEU,Male,M25-29,58.93333333333333,283.51666666666665,197.06666666666666,546.2
"Davidson, Matthew",USA,Male,M40-44,67.13333333333334,276.8,201.5,551.85
"Byers, Todd",USA,Male,M35-39,68.53333333333333,272.15,202.46666666666667,552.2666666666667
"Byram, Scott",USA,Male,M35-39,65.25,275.43333333333334,205.15,555.1166666666667
"Cerize, Pedro",BRA,Male,M45-49,63.083333333333336,281.71666666666664,201.65,555.2333333333333
"Modrzejewski, Nicholas",USA,Male,M35-39,58.46666666666667,291.75,197.88333333333333,555.8833333333333
"Royce, Daniel",USA,Male,M35-39,54.516666666666666,279.96666666666664,215.31666666666666,557.9166666666666
"Adriaens, Joe",USA,Male,M30-34,56.46666666666667,282.51666666666665,211.8,558.0666666666667
"Karner, Johan",SWE,Male,M25-29,58.666666666666664,277.71666666666664,214.98333333333332,558.7166666666667
"Murphy, Phil",GBR,Male,M35-39,58.63333333333333,275.56666666666666,217.61666666666667,558.9833333333333
"Legere, Vincent",CAN,Male,M40-44,60.9,301.0833333333333,190.31666666666666,559.6666666666666
"Hessian, John",AFG,Male,M45-49,66.95,285.3333333333333,199.25,559.7166666666667
"Alvim, Thiago",BRA,Male,M30-34,57.95,289.76666666666665,203.3,560.3666666666667
"Latifi, Michael",CAN,Male,M18-24,67.55,294.78333333333336,192.3,561.95
"Gennari, Gustavo",BRA,Male,M40-44,61.733333333333334,284.93333333333334,207.48333333333332,562.8333333333334
"Marzen, Ryan",USA,Male,M25-29,68.91666666666667,290.8333333333333,197.8,567.0333333333333
"Craig, Robert",USA,Male,M30-34,63.35,288.73333333333335,207.61666666666667,567.05
"Pagalilauan, Jonathan",USA,Male,M35-39,64.56666666666666,290.31666666666666,204.3,568.0666666666667
"Haglund, Fredrik",SWE,Male,M40-44,51.63333333333333,285.1166666666667,225.58333333333334,569.8333333333334
"Chevallier, Arnaud",FRA,Male,M40-44,72.88333333333334,290.21666666666664,199.63333333333333,571.9833333333333
"Rojas, Manuel",CRI,Male,M35-39,68.95,292.6,193.81666666666666,572.5333333333333
"Richardson, Jeremy",USA,Male,M25-29,59.583333333333336,292.5,212.61666666666667,572.65
"Rose, Nick",GBR,Male,M45-49,61.68333333333333,291.93333333333334,211.5,572.7166666666667
"Osterberg, Jacob",SWE,Male,M40-44,62.766666666666666,286.0833333333333,218.96666666666667,575.2833333333333
"Marker, Ken",USA,Male,M40-44,64.01666666666667,294.6,208.5,576.5666666666667
"Pesch, Robin",DEU,Male,M25-29,58.166666666666664,279.55,230.5,577
"Fasanelli, Daniel",FRA,Male,M50-54,61.4,309.96666666666664,196.91666666666666,577.0333333333333
"Kallio, Janne",FIN,Male,M40-44,61.53333333333333,284.56666666666666,223.31666666666666,577.2166666666667
"Markenstrand, Mattias",SWE,Male,M25-29,62.71666666666667,296.03333333333336,208.21666666666667,579.15
"Gallegos, Elyse",USA,Female,F30-34,63.36666666666667,302.65,206.56666666666666,579.85
"Arcoverde Ribeiro Costa, Tarik",BRA,Male,M35-39,51.266666666666666,289.8666666666667,223.78333333333333,580.4166666666666
"Jones, David",USA,Male,M50-54,63.983333333333334,291.2,216.33333333333334,580.5
"Rankin, Robert",USA,Male,M30-34,57.06666666666667,296.6166666666667,218,581.0833333333334
"Morales, Florencia",ARG,Female,F35-39,67.18333333333334,318.25,189.18333333333334,581.9333333333333
"Stormark, Geir Helge",NOR,Male,M30-34,67.96666666666667,299.23333333333335,203.86666666666667,582.2166666666667
"Alexander, Jake",USA,Male,M25-29,65.26666666666667,308.03333333333336,201.95,582.5833333333334
"Thomas, Chris",USA,Male,M25-29,64.05,296.43333333333334,206.65,582.7333333333333
"Werneck Pereira Do Espirito Santo, Henrique",BRA,Male,M40-44,62.56666666666667,301.05,211.1,584.65
"De Smet, Laurens",BEL,Male,M25-29,56.05,295.23333333333335,228.03333333333333,587.0833333333334
"Green, Robert",USA,Male,M40-44,59.38333333333333,286.65,234.2,588.2666666666667
"Trimble, Craig",USA,Male,M25-29,63.93333333333333,291.76666666666665,222.16666666666666,588.9666666666667
"Abecassis, Eric",FRA,Male,M50-54,74.11666666666666,302.85,202.3,589.2166666666667
"Podoba, Jacek Tomasz",POL,Male,M45-49,61.28333333333333,299.25,220.85,589.45
"De Veiga Sicupria Nunes Ferreira, Carlos",BRA,Male,M18-24,62.18333333333333,301.76666666666665,215.95,589.75
"Gonzalez Castro, Pablo",CHL,Male,M40-44,82.43333333333334,290.56666666666666,204.41666666666666,590.7833333333333
"Carter, Larkin",USA,Male,M55-59,68.68333333333334,299.4166666666667,213.95,590.8333333333334
"Gaffney, Ian",USA,Male,M25-29,55.43333333333333,305.3666666666667,212.75,590.8666666666667
"Gompers, Paul",USA,Male,M50-54,63.46666666666667,302.35,215.46666666666667,591.5666666666667
"Howitt, Daniel",AUS,Male,M30-34,56.81666666666667,317.81666666666666,206.18333333333334,591.7833333333333
"Van Der Meer, Dennis",NLD,Male,M50-54,71.93333333333334,302.1,207.11666666666667,591.8833333333333
"Moyer, Justin",USA,Male,M35-39,58.083333333333336,286.55,241,593.6333333333333
"Johansson, Fredrik",SWE,Male,M50-54,69.7,300.28333333333336,215.45,594
"Stephane, Quero",FRA,Male,M40-44,64.26666666666667,304.03333333333336,219.1,594.6
"Gile, David",USA,Male,M45-49,75.55,298.98333333333335,212.35,594.95
"Billyard, Mark",GBR,Male,M30-34,54.11666666666667,296.75,234,595.1
"McLeod, Joseph",USA,Male,M30-34,69.63333333333334,285.4,225.98333333333332,595.1166666666667
"Sandoval, Mauricio",COL,Male,M30-34,69.9,299.75,215.25,595.15
"Dam, Christian",AUT,Male,M40-44,72.26666666666667,297.3666666666667,217.36666666666667,595.1666666666666
"Soppelsa, Michael",USA,Male,M50-54,66.83333333333333,307.93333333333334,210.76666666666668,595.3666666666667
"Sherriff, Leah",CAN,Female,F30-34,64.81666666666666,312.96666666666664,209.18333333333334,595.55
"Shearon, David",USA,Male,M45-49,65.43333333333334,301.03333333333336,220.25,595.6166666666667
"Wallis, Michael Brett",USA,Male,M45-49,68.85,298.76666666666665,217.85,595.8
"Tye, Chris",GBR,Male,M50-54,64.53333333333333,297.75,222.73333333333332,595.8166666666667
"Johansson, Lars",SWE,Male,M40-44,69.48333333333333,300.3,217.01666666666668,596.5833333333334
"Orlando, Frank",USA,Male,M35-39,67.06666666666666,298.45,219.03333333333333,596.6333333333333
"Zepeda, John",USA,Male,M45-49,61.666666666666664,297.95,221.03333333333333,597.15
"Cummins, Rob",IRL,Male,M45-49,65.91666666666667,290.26666666666665,227.43333333333334,597.25
"Sheppard, Graham",USA,Male,M30-34,63.016666666666666,305.78333333333336,221.98333333333332,597.4333333333333
"Wilson, John",USA,Male,M55-59,66.13333333333334,303.25,219.9,597.5
"Dugan, Jeff",USA,Male,M30-34,76.13333333333334,298.8666666666667,213.88333333333333,597.7333333333333
"Mandel, Marcel",DEU,Male,M35-39,64.95,291.28333333333336,232.38333333333333,598.6666666666666
"Gutstadt, Doron",ISR,Male,M45-49,66.76666666666667,302.3333333333333,214.93333333333334,598.9833333333333
"Keysor, Chris",USA,Male,M50-54,68.91666666666667,300.7,219.75,599.15
"Gulliford, Craig",GBR,Male,M45-49,62.016666666666666,270.35,259.51666666666665,600.15
"Quick, Angela",CAN,Female,F25-29,53.36666666666667,312.1666666666667,227.68333333333334,600.3
"Lindner, Johann",AUT,Male,M45-49,61.43333333333333,284.0833333333333,244.6,600.4166666666666
"Royer, Justin",USA,Male,M35-39,62.983333333333334,304.0833333333333,224.31666666666666,600.8666666666667
"Haupt, Michael",USA,Male,M45-49,68.65,299.8833333333333,222.35,602.1666666666666
"Bauer, Thomas",DEU,Male,M40-44,58.983333333333334,289.4,240.41666666666666,602.7666666666667
"Kuhr, Derek",USA,Male,M45-49,68.78333333333333,302.0833333333333,220.51666666666668,602.7833333333333
"Thomas, Suzy",USA,Female,F45-49,62.5,316.98333333333335,213.96666666666667,602.8
"Ferrand, Baptiste",FRA,Male,M18-24,66.06666666666666,299.9166666666667,227.73333333333332,603.45
"Schmitz, Kyle",USA,Male,M30-34,61.78333333333333,321.25,212.05,604.2666666666667
"Conners, Matthew",USA,Male,M25-29,72.05,297.78333333333336,224.66666666666666,605.4666666666667
"Pfaller, Rene",AUT,Male,M30-34,64.35,309.15,223.25,605.7
"Tallon, Mark",GBR,Male,M40-44,65.51666666666667,293.8333333333333,236.91666666666666,606.2166666666667
"Poggi B., Carlos Horacio",ECU,Male,M30-34,64.36666666666666,308.81666666666666,222.16666666666666,607.0833333333334
"Fohn, Michael",AUT,Male,M50-54,66.21666666666667,314.6666666666667,216.4,607.4166666666666
"Chavet, Francois",FRA,Male,M35-39,70.8,299.3333333333333,223.08333333333334,607.5
"Hamilton, Cameron",USA,Male,M40-44,54.38333333333333,309.7,235.23333333333332,607.8166666666667
"Silva, Carlos",PRT,Male,M50-54,76.96666666666667,301.51666666666665,218.28333333333333,607.95
"Kelly, Paige",USA,Female,F25-29,71.45,300.3333333333333,227.63333333333333,607.95
"Pease, Brent",USA,Male,M30-34,59.85,320.51666666666665,218.71666666666667,608.1
"Ossedat, Jerome",FRA,Male,M35-39,68.08333333333333,292.0833333333333,238.61666666666667,608.2333333333333
"Bickerstaff, Ryan",USA,Male,M35-39,57.3,320.98333333333335,221.31666666666666,608.2833333333333
"Mitchell, Paul",GBR,Male,M50-54,73.15,298.28333333333336,224.58333333333334,608.3166666666667
"Boivin, Nicolas",FRA,Male,M25-29,60.833333333333336,313.8666666666667,220.51666666666668,608.4166666666666
"Wilson, Karl",BMU,Male,M40-44,60.25,303.3333333333333,235.98333333333332,609.2
"Westman, Robert",SWE,Male,M40-44,57.416666666666664,298.68333333333334,245.68333333333334,609.3333333333334
"Iott, Scott",USA,Male,M40-44,62,284.45,256.3,609.9
"Stoveld, Kimberly",USA,Female,F25-29,56.4,315.3,229.83333333333334,610.1166666666667
"Estrella, Juan",USA,Male,M50-54,71.53333333333333,297.8333333333333,226.2,610.25
"Alvarez Val, Rodolfo",USA,Male,M35-39,69.96666666666667,309.01666666666665,222.93333333333334,610.4166666666666
"Troy, Alex",CAN,Male,M45-49,70.06666666666666,289.6166666666667,238.33333333333334,610.9
"Lievens, Filip",BEL,Male,M45-49,57.31666666666667,315.85,228.5,610.9666666666667
"Gervais, Annie",CAN,Female,F40-44,64.53333333333333,310.5,227.03333333333333,611.1666666666666
"Pinheiro, Adriano",BRA,Male,M40-44,64.81666666666666,292.2,246.71666666666667,611.65
"Forbes, Harper",CAN,Male,M40-44,72.45,303.98333333333335,222.98333333333332,612
"Pipes, James",USA,Male,M30-34,70.85,304.65,226.78333333333333,612.0166666666667
"Johnson, Thomas",USA,Male,M25-29,62.21666666666667,304.65,237.36666666666667,612.3833333333333
"Dauwe, Chris",USA,Male,M30-34,70.55,291.8333333333333,240.11666666666667,612.4333333333333
"Tatum, Matthew",USA,Male,M30-34,60.31666666666667,299.25,246.03333333333333,612.5166666666667
"Morixe, Santiago",ARG,Male,M45-49,65.63333333333334,299.4166666666667,238.45,612.5333333333333
"Tucker, Jeremy",CAN,Male,M40-44,56.36666666666667,296.95,250.66666666666666,613.1166666666667
"Simmons, Jonah",USA,Male,M18-24,55.3,338.73333333333335,209.71666666666667,613.3333333333334
"Reilly, Brian",USA,Male,M50-54,66.28333333333333,320.1666666666667,217.31666666666666,613.5166666666667
"Graff, Andre",DEU,Male,M55-59,67.91666666666667,308.6333333333333,232.33333333333334,616.7833333333333
"Salvo, Frank",USA,Male,M55-59,60.61666666666667,312.5833333333333,233.45,617.2666666666667
"Santos, Claudio",BRA,Male,M40-44,61.61666666666667,289.1666666666667,252.93333333333334,617.3
"Bye, John",USA,Male,M45-49,65.5,293.1666666666667,249.15,617.7666666666667
"Zucco, Adam",USA,Male,M40-44,57.55,287.85,257.93333333333334,617.8
"Wade, Matthew",USA,Male,M45-49,63.833333333333336,289.9,252.08333333333334,618.1
"Van Zyl, Anton",USA,Male,M40-44,62.1,309.8666666666667,233.98333333333332,618.7166666666667
"Perroteau, Alain",FRA,Male,M55-59,72.73333333333333,302.3333333333333,233.05,619.0166666666667
"Peters, Sam",LUX,Male,M30-34,65.25,317.53333333333336,221.45,619.0333333333333
"McDermott, James",USA,Male,M18-24,73.85,279.8666666666667,257.9166666666667,619.5166666666667
"Glynn, Tom",USA,Male,M55-59,71.86666666666666,310.73333333333335,226.66666666666666,620.15
"Wilkinson, Maranda",USA,Female,F30-34,71.66666666666667,319.48333333333335,220.9,622.3166666666667
"Brien, Cameron",CAN,Male,M30-34,69.73333333333333,300.0833333333333,240.26666666666668,622.6333333333333
"Bolano, Fausto",ECU,Male,M35-39,68.8,320.21666666666664,217.6,622.6833333333333
"Nash, Jon",USA,Male,M35-39,61.016666666666666,314.65,238.6,622.85
"Derossi, Damien",FRA,Male,M45-49,63.56666666666667,307.71666666666664,241.55,623.1333333333333
"Beliles, Greg",USA,Male,M30-34,61.05,318.15,233.63333333333333,623.35
"Carpenter, Rebecca",USA,Female,F45-49,55.9,318.6,241.7,623.85
"Bullard, Dana",USA,Female,F40-44,71.98333333333333,310.8833333333333,232.55,624.0833333333334
"Desmet, Craig",USA,Male,M35-39,73.03333333333333,301.8833333333333,237.25,624.8833333333333
"Stephens, David",USA,Male,M40-44,67.35,312.0833333333333,237.33333333333334,625.2833333333333
"Garn, Greg",USA,Male,M45-49,69.11666666666666,322.6166666666667,222.7,625.3666666666667
"Boilard, Olivier",CAN,Male,M30-34,74.11666666666666,318.75,219.55,625.4
"Houk, Ryan",USA,Male,M35-39,68.41666666666667,291.56666666666666,256.9,625.4333333333333
"Huckle, Mike",GBR,Male,M25-29,63.8,283.71666666666664,271.1333333333333,626.0333333333333
"Althey, Charles",FRA,Male,M40-44,82.18333333333334,311.1,225.18333333333334,626.2333333333333
"Pompelia, Tyson",USA,Male,M35-39,60.9,289.65,267.53333333333336,627.0166666666667
"Massey, Zach",USA,Male,M30-34,73.35,326.06666666666666,215.66666666666666,627.3333333333334
"Fothergill, William",USA,Male,M25-29,61.9,326.68333333333334,228.63333333333333,627.5166666666667
"Soria, Jason",USA,Male,M40-44,60.266666666666666,325.26666666666665,230.93333333333334,627.8333333333334
"Lesniak, Daniel",USA,Male,M35-39,71.15,320.1166666666667,226.66666666666666,627.9666666666667
"Coey, Scott",AUS,Male,M45-49,65.15,319.21666666666664,231.2,628.3333333333334
"Ching Jenkins, Diego",CRI,Male,M25-29,66.9,298.1,254.75,628.8666666666667
"Liriano, Christian",DOM,Male,M40-44,75.6,324.01666666666665,219.16666666666666,629.3333333333334
"Maheu, Audrey",USA,Female,F25-29,75.65,299.35,243.63333333333333,629.3333333333334
"Flammang, Daniele",LUX,Female,F45-49,64.81666666666666,332.76666666666665,223.51666666666668,629.8166666666667
"Reyes, Ben",USA,Male,M40-44,78.93333333333334,304.48333333333335,231.43333333333334,630.0166666666667
"Stephens, Trent",USA,Male,M45-49,61.95,308.1666666666667,249,630.7666666666667
"Stone, Kyle",USA,Male,M45-49,72.75,315.03333333333336,231.25,630.9333333333333
"Stonge, Paul",USA,Male,M40-44,58.61666666666667,316.96666666666664,243.35,630.9333333333333
"Agerbjer, Jorgen",SWE,Male,M35-39,68.78333333333333,288.9166666666667,265.2,631.4333333333333
"Hausauer, Jake",USA,Male,M25-29,55.05,295.15,272.3666666666667,631.7166666666667
"Keller, Steven",USA,Male,M40-44,74.8,323.15,221.75,632
"Colantuoni, Kenneth",USA,Male,M45-49,78.2,299.25,242.56666666666666,632.7333333333333
"Menichetti, Enrico",BEL,Male,M35-39,75.26666666666667,329.28333333333336,218.91666666666666,632.9
"Merizalde, Sebastian",USA,Male,M30-34,63.56666666666667,310.5,248.13333333333333,633.05
"Aube, Bryan",USA,Male,M35-39,64.43333333333334,293.35,266.55,633.1333333333333
"Scaldini, Claudia",BRA,Female,F30-34,73.06666666666666,303.4166666666667,248.65,633.2666666666667
"Mayrand, Bruce",USA,Male,M35-39,76.15,289.8333333333333,258.18333333333334,633.3166666666667
"Galmiche, Gerald",PYF,Male,M40-44,67.63333333333334,312.7,239.56666666666666,633.3833333333333
"Fortin, William",CAN,Male,M25-29,66.3,326.98333333333335,231.41666666666666,633.8
"Rummler, Joe",USA,Male,M50-54,81.41666666666667,324.8,218.13333333333333,634.0833333333334
"Simmons, Rich",USA,Male,M40-44,56.13333333333333,318.05,251.46666666666667,634.1833333333333
"Antoine, Cyrille",FRA,Male,M45-49,66.98333333333333,309.76666666666665,244.46666666666667,634.25
"Rueda, Fernando",COL,Male,M30-34,67.56666666666666,292.8666666666667,263.2,634.5166666666667
"Modave, Francois",USA,Male,M45-49,64.7,277.68333333333334,280.2,634.65
"Richmond, Jeff",USA,Male,M45-49,65.61666666666666,313.95,243.53333333333333,634.8333333333334
"Rinehart, Suzanne",USA,Female,F45-49,63.28333333333333,307.95,253.3,635.1833333333333
"Ehrig, Brian",USA,Male,M40-44,71.1,311.98333333333335,242.96666666666667,636.15
"Shenefelt, Von",USA,Male,M30-34,75.08333333333333,312.5833333333333,239.91666666666666,636.7
"Mayfield, Gregory",USA,Male,M45-49,71.23333333333333,317.06666666666666,235.18333333333334,636.85
"Mulford, Chris",USA,Male,M40-44,75.23333333333333,308.46666666666664,243.66666666666666,636.95
"Sierra, Nicole",USA,Female,F30-34,71.25,307.9166666666667,248.71666666666667,637
"Debard, Julien",FRA,Male,M35-39,75,312.55,236.38333333333333,637.3333333333334
"Dambrauskas, Dana",USA,Female,F40-44,69.21666666666667,319.6333333333333,238.18333333333334,637.4
"Bly, Ben",USA,Male,M30-34,69.21666666666667,315.96666666666664,243.86666666666667,637.7
"McLean, Gary",GBR,Male,M30-34,64.08333333333333,304.1666666666667,259.96666666666664,638.45
"Lawrence, Patti",USA,Female,F50-54,74.66666666666667,308.96666666666664,245.33333333333334,638.6833333333333
"Hamilton, Andy",GBR,Male,M35-39,65.23333333333333,295.68333333333334,267.98333333333335,638.9666666666667
"Hulgan, Brett",USA,Male,M35-39,65.1,305.9166666666667,255.95,639.0833333333334
"Jensen, Suzanne",USA,Female,F40-44,76.65,321.85,230.35,639.4333333333333
"Bylund, Jonathan",USA,Male,M35-39,68.68333333333334,315.0833333333333,246.23333333333332,639.7833333333333
"Walker, Dougin",USA,Male,M50-54,53.93333333333333,317.3833333333333,255.98333333333332,640.3
"Setzler, Erika",USA,Female,F25-29,70.15,336.5,222.35,640.7666666666667
"Wisniewski, Joe",USA,Male,M18-24,63.43333333333333,314.43333333333334,253.2,640.85
"Wendes, Nick",USA,Male,M25-29,71.8,323.53333333333336,232.56666666666666,641.3666666666667
"Jakobsen, Kaisa",DNK,Female,F50-54,67.11666666666666,321.15,243.8,642.2
"Quateman, Patrick",USA,Male,M30-34,73.46666666666667,319.81666666666666,238.28333333333333,642.2333333333333
"Zucco, Tanya",GBR,Female,F30-34,74.36666666666666,315.78333333333336,240.95,642.5833333333334
"Guidry, Blake",USA,Male,M30-34,65.96666666666667,312.71666666666664,247.96666666666667,642.8
"Verstegen, Leonie",NLD,Female,F45-49,67.68333333333334,317.9166666666667,241.11666666666667,642.85
"Zarama, Mauricio",COL,Male,M50-54,81.96666666666667,320.55,227.6,643.1
"Glow, Eric",USA,Male,M35-39,60.1,295.9166666666667,277.3333333333333,643.1166666666667
"Heckmann, Martin",DEU,Male,M40-44,62.95,292.93333333333334,278.6333333333333,643.1333333333333
"Lenehan, Ross",USA,Male,M30-34,59.75,291,279.48333333333335,643.2166666666667
"Steere, Doris",USA,Female,F30-34,66.53333333333333,342.76666666666665,228.4,644.8333333333334
"McNiven, Lauren",CAN,Female,F30-34,81.25,342.45,211.93333333333334,645.1666666666666
"Parulan, Darryl",PHL,Male,M30-34,73.93333333333334,322.4,238.71666666666667,645.6833333333333
"Juehring, Lee",USA,Male,M45-49,70.76666666666667,320.98333333333335,240.65,646
"Ribeiro, Antonio",PRT,Male,M45-49,68.66666666666667,318.3666666666667,245.55,646.1666666666666
"Sweetser, Stacy",USA,Female,F40-44,57.3,324.01666666666665,253.13333333333333,646.4166666666666
"Paul, Leonhard",DEU,Male,M50-54,78.05,317.1333333333333,241.75,647.15
"Philippe, Olivier",FRA,Male,M40-44,63.56666666666667,306.35,268.5,647.2
"Streetman, Dan",USA,Male,M45-49,79.91666666666667,290.6333333333333,266.8333333333333,647.2166666666667
"Williams, Jaclyn",USA,Female,F30-34,62.916666666666664,323.96666666666664,250.95,647.2333333333333
"Gadalla, Omar",USA,Male,M35-39,61.083333333333336,319.76666666666665,254.88333333333333,647.35
"Arriagada, Veronica",CHL,Female,F45-49,68.33333333333333,328.3333333333333,235.66666666666666,647.6
"Kane, Colin",USA,Male,M40-44,64.51666666666667,319.76666666666665,249.28333333333333,647.75
"Eckenrode, Ray",USA,Male,M40-44,62.96666666666667,325.81666666666666,245.21666666666667,647.8666666666667
"Lopez Rios, Alejandro",CRI,Male,M40-44,82.81666666666666,316.3333333333333,235.08333333333334,647.9166666666666
"Letourneau, Katy",CAN,Female,F45-49,64.93333333333334,329.2,245.4,649.1666666666666
"Asplund, Jonas",SWE,Male,M45-49,67,282.93333333333334,289.68333333333334,649.2333333333333
"Peterson, Joseph",USA,Male,M35-39,69.71666666666667,328.56666666666666,237.98333333333332,650.1333333333333
"Mroczko, Don",USA,Male,M40-44,73.78333333333333,308.65,252.25,650.95
"Schmidt, Heike",DEU,Female,F45-49,84.53333333333333,330.23333333333335,228.25,651.3166666666667
"Kahl, Eric",USA,Male,M45-49,63.233333333333334,316.55,261.53333333333336,651.9
"Plaxton, Nicholas",USA,Male,M45-49,59.8,308.3666666666667,268.7,652.4833333333333
"Gerstner, Dieter",DEU,Male,M50-54,79.7,320.25,238.41666666666666,652.5833333333334
"Gondre, Philippe",FRA,Male,M50-54,61.95,303.46666666666664,276.4,653.0333333333333
"Barraez Gil, Cheyenne",USA,Male,M35-39,63.6,305.4,270.48333333333335,653.0833333333334
"Ureta, Juan Jose",ESP,Male,M40-44,65.03333333333333,289.3333333333333,289.46666666666664,653.6666666666666
"Dillard, Tom",USA,Male,M30-34,71.38333333333334,320.05,252.55,653.7166666666667
