Player,Season,TPM,TPA,TPP
A.C. Green,1997,1,20,0.05
Aaron McKie,1997,41,103,0.39805825242718446
Aaron Williams,1997,0,1,0
Acie Earl,1997,0,5,0
Adam Keefe,1997,0,1,0
Adrian Caldwell,1997,0,2,0
Alan Henderson,1997,0,0,NA
Aleksandar Djordjevic,1997,5,7,0.7142857142857143
Allan Houston,1997,148,384,0.3854166666666667
Allen Iverson*,1997,155,455,0.34065934065934067
Alonzo Mourning*,1997,1,9,0.1111111111111111
Alton Lister,1997,0,0,NA
Amal McCaskill,1997,0,2,0
Andrew DeClercq,1997,0,0,NA
Andrew Lang,1997,0,0,NA
Anfernee Hardaway,1997,85,267,0.31835205992509363
Anthony Goldwire,1997,64,153,0.41830065359477125
Anthony Mason,1997,1,3,0.3333333333333333
Anthony Miller,1997,0,0,NA
Anthony Peeler,1997,128,343,0.37317784256559766
Antoine Carr,1997,0,3,0
Antoine Walker,1997,52,159,0.3270440251572327
Antonio Davis,1997,1,14,0.07142857142857142
Antonio Harvey,1997,0,0,NA
Antonio Lang,1997,0,6,0
Antonio McDyess,1997,6,35,0.17142857142857143
Armen Gilliam,1997,0,0,NA
Arvydas Sabonis*,1997,49,132,0.3712121212121212
Ashraf Amaya,1997,1,1,1
Avery Johnson,1997,6,26,0.23076923076923078
B.J. Armstrong,1997,25,90,0.2777777777777778
Ben Davis,1997,0,0,NA
Ben Wallace,1997,0,0,NA
Benoit Benjamin,1997,0,0,NA
Bill Wennington,1997,0,2,0
Billy Owens,1997,25,72,0.3472222222222222
Bimbo Coles,1997,30,102,0.29411764705882354
Bison Dele,1997,0,0,NA
Blue Edwards,1997,25,89,0.2808988764044944
Bo Outlaw,1997,0,8,0
Bob Sura,1997,53,164,0.3231707317073171
Bobby Hurley,1997,14,45,0.3111111111111111
Bobby Phills,1997,85,216,0.39351851851851855
Brad Lohaus,1997,2,7,0.2857142857142857
Brent Barry,1997,56,173,0.3236994219653179
Brent Price,1997,17,53,0.32075471698113206
Brent Scott,1997,0,0,NA
Brett Szabo,1997,0,1,0
Brian Evans,1997,4,8,0.5
Brian Grant,1997,0,0,NA
Brian Shaw,1997,63,194,0.3247422680412371
Brooks Thompson,1997,97,244,0.3975409836065574
